Zip,Year,MedianValue
21093,2007,393942.0489463939
21093,2008,380169.00961915107
21093,2009,350104.99418745073
21093,2010,339234.7709821715
21093,2011,320175.05869332544
21093,2012,317364.57587261975
21093,2013,336515.4256494161
21093,2014,353638.03667723306
21093,2015,355778.2152331405
21093,2016,365331.5083027268
21093,2017,377714.3296512559
21093,2018,386609.72894750186
21093,2019,388724.2666813958
21093,2020,394665.66197208606
21093,2021,435731.10206634155
21093,2022,460487.676677604
21093,2023,471913.6444859825
21093,2024,483371.0326714983
21093,2025,495433.2421012607
21111,2000,267363.8354252176
21111,2001,282872.7845106784
21111,2002,315072.997741589
21111,2003,351926.11969240266
21111,2004,410020.6767935898
21111,2005,486730.4025996897
21111,2006,542648.8210391372
21111,2007,541428.2202258572
21111,2008,520264.53953603434
21111,2009,470703.7477859786
21111,2010,456238.7726336287
21111,2011,430629.76252246456
21111,2012,430157.49152736476
21111,2013,454427.07771506126
21111,2014,475011.14638925454
21111,2015,483321.34647518565
21111,2016,488843.64963320474
21111,2017,498317.24050322094
21111,2018,515742.5119389578
21111,2019,520218.37820985477
21111,2020,532717.9143567088
21111,2021,614163.4290362226
21111,2022,651995.2966412499
21111,2023,664833.2083344405
21111,2024,692280.0998785291
21111,2025,702885.3125764367
21117,2000,164020.2690532984
21117,2001,169853.65302504727
21117,2002,183030.06351291382
21117,2003,202096.9501913538
21117,2004,235010.57338337792
21117,2005,285241.5159363472
21117,2006,326363.618882826
21117,2007,331016.0952581214
21117,2008,315885.58928805124
21117,2009,281525.2491729066
21117,2010,268940.49543728615
21117,2011,242021.09558934974
21117,2012,234429.07735153596
21117,2013,244181.075124953
21117,2014,251494.25219571346
21117,2015,253894.68959328136
21117,2016,258533.07678279205
21117,2017,266183.5909600231
21117,2018,271486.6068896734
21117,2019,279156.88007315656
21117,2020,288106.52028442395
21117,2021,326620.4663855078
21117,2022,360906.188244177
21117,2023,367270.6063566886
21117,2024,377391.2681971018
21117,2025,382688.1739182704
21120,2000,233382.80209382315
21120,2001,242684.7894009971
21120,2002,270359.40285184665
21120,2003,302351.59155074466
21120,2004,354243.26712317206
21120,2005,420446.81729402766
21120,2006,478640.1166959269
21120,2007,480155.63228451554
21120,2008,458225.290439993
21120,2009,419998.10628421395
21120,2010,419266.46410341776
21120,2011,379059.9311852171
21120,2012,374022.94638856454
21120,2013,397686.49926654703
21120,2014,416560.6433386066
21120,2015,424501.8826090755
21120,2016,434947.4133698784
21120,2017,441616.6859049121
21120,2018,452315.8114513041
21120,2019,463917.4086779812
21120,2020,472552.8045604796
21120,2021,543632.0358226681
21120,2022,571583.4726184377
21120,2023,587209.8951538736
21120,2024,618719.5326849245
21120,2025,630679.7795006437
21128,2000,189725.5109791282
21128,2001,198378.0787320407
21128,2002,212760.5055282385
21128,2003,239953.52885452926
21128,2004,282245.94098179677
21128,2005,338578.3474004478
21128,2006,389089.1308138387
21128,2007,390109.82275872777
21128,2008,372360.199691579
21128,2009,334490.12927725253
21128,2010,320590.4263359399
21128,2011,299137.2502171325
21128,2012,294789.5213431984
21128,2013,307214.6117966202
21128,2014,318414.1440360871
21128,2015,321810.2723626271
21128,2016,327323.2957114879
21128,2017,329733.209506693
21128,2018,336921.60749689594
21128,2019,342338.43275179924
21128,2020,351171.79081881477
21128,2021,387338.11748189887
21128,2022,413341.7480225152
21128,2023,424024.7078391459
21128,2024,432459.1123837738
21128,2025,435713.33267486095
21131,2000,309854.4041838534
21131,2001,327863.94244593696
21131,2002,360625.0297943895
21131,2003,394573.93400487443
21131,2004,450485.245989033
21131,2005,535469.4470884072
21131,2006,603606.6804504263
21131,2007,599692.2228984956
21131,2008,567580.8337279479
21131,2009,515992.5605666607
21131,2010,493361.03378417174
21131,2011,469449.4562222145
21131,2012,454252.8301754951
21131,2013,469898.7026581126
21131,2014,492463.492282986
21131,2015,497672.1975852159
21131,2016,504216.17819114926
21131,2017,511118.37006593664
21131,2018,525139.2369844695
21131,2019,533994.5034170456
21131,2020,540112.0365022335
21131,2021,618642.9793836784
21131,2022,664385.2626294959
21131,2023,684087.6273137573
21131,2024,716391.4530271747
21131,2025,736674.9079282755
21133,2000,136401.49817137263
21133,2001,142188.81612813205
21133,2002,153353.02818840079
21133,2003,168533.4377728291
21133,2004,194846.56303048122
21133,2005,236061.72232359427
21133,2006,278927.5231323525
21133,2007,294081.6973251528
21133,2008,282032.54973589565
21133,2009,247716.51048380346
21133,2010,228502.0328290313
21133,2011,203577.45388191968
21133,2012,195146.50065012585
21133,2013,202311.10056003436
21133,2014,207205.28615630185
21133,2015,212431.9716797641
21133,2016,224455.06190382168
21133,2017,235491.43539724516
21133,2018,247096.33347290882
21133,2019,262353.2034045185
21133,2020,274170.9258956623
21133,2021,315845.51192847104
21133,2022,339333.65663583874
21133,2023,343007.8685443911
21133,2024,349651.9248574169
21133,2025,358256.3626557922
21136,2000,163641.67068651353
21136,2001,169978.6470387532
21136,2002,184994.9552378258
21136,2003,203752.78647011908
21136,2004,237970.95368189702
21136,2005,291644.2294946744
21136,2006,332243.2572636629
21136,2007,342493.51308326586
21136,2008,328460.7504544131
21136,2009,292583.5482062611
21136,2010,277483.97767663334
21136,2011,254454.80468210496
21136,2012,248718.2181503125
21136,2013,259667.13692380834
21136,2014,266031.2862988919
21136,2015,268343.30927292944
21136,2016,272799.162921858
21136,2017,280285.071428613
21136,2018,287640.0139197041
21136,2019,296220.41331040114
21136,2020,306578.55776866456
21136,2021,348230.9184545598
21136,2022,375697.18103960657
21136,2023,386713.2816324858
21136,2024,396047.7551715743
21136,2025,402923.0534832286
21152,2000,203167.24585422146
21152,2001,212322.58510628913
21152,2002,234541.2950653265
21152,2003,257798.1420333148
21152,2004,303504.28727709455
21152,2005,357773.4467139635
21152,2006,397148.4318837866
21152,2007,396524.03001444496
21152,2008,387828.38350830355
21152,2009,352757.3014822796
21152,2010,344543.0195689712
21152,2011,330122.5737364617
21152,2012,322322.3244165565
21152,2013,340868.1808064944
21152,2014,360357.98368200805
21152,2015,364947.95531652845
21152,2016,367065.82925881364
21152,2017,374042.45285674755
21152,2018,379890.9792858866
21152,2019,387298.75009651715
21152,2020,395834.939683611
21152,2021,445290.47360686935
21152,2022,471765.22472828033
21152,2023,479631.33098796743
21152,2024,500105.45026171603
21152,2025,509424.27536239184
21153,2000,438975.75848118553
21153,2001,464725.6090201617
21153,2002,505880.4361552414
21153,2003,562876.197635667
21153,2004,640282.3332964511
21153,2005,775673.2666519879
21153,2006,869540.590814963
21153,2007,879762.2204586176
21153,2008,842935.6581108659
21153,2009,767183.2854159004
21153,2010,722593.0152076432
21153,2011,670816.2375554125
21153,2012,676196.1048282553
21153,2013,714480.15287398
21153,2014,746400.9516422782
21153,2015,735082.655146143
21153,2016,735809.0336253988
21153,2017,753747.0143463179
21153,2018,773538.9826425856
21153,2019,779349.1602559697
21153,2020,780830.4248450443
21153,2021,901499.5664007573
21153,2022,960473.356445065
21153,2023,980894.7605322669
21153,2024,1031914.7201151145
21153,2025,1048794.480876043
21155,2000,184691.7291928503
21155,2001,186853.11577915188
21155,2002,210648.1448492289
21155,2003,230619.99395504093
21155,2004,272995.36135794484
21155,2005,339600.012926262
21155,2006,383108.1318350397
21155,2007,386685.9019220847
21155,2008,377266.16049579513
21155,2009,347344.32829459745
21155,2010,331563.678013644
21155,2011,306139.23734180245
21155,2012,299410.63262021
21155,2013,316758.82957111124
21155,2014,327870.15766384697
21155,2015,336020.9231275645
21155,2016,347114.30873768806
21155,2017,355435.7556689426
21155,2018,364697.9661856983
21155,2019,375720.0462871253
21155,2020,385334.9691691573
21155,2021,450713.0560661201
21155,2022,476599.65752620593
21155,2023,489472.5066015209
21155,2024,508137.4322980625
21155,2025,520830.2729774483
21156,2000,
21156,2001,
21156,2002,
21156,2003,
21156,2004,
21156,2005,
21156,2006,
21156,2007,
21156,2008,
21156,2009,
21156,2010,
21156,2011,
21156,2012,
21156,2013,
21156,2014,
21156,2015,
21156,2016,
21156,2017,
21156,2018,
21156,2019,
21156,2020,
21156,2021,
21156,2022,502948.2312765449
21156,2023,509392.7429078944
21156,2024,516077.24617880007
21156,2025,525104.9552858712
21161,2000,194618.9409754516
21161,2001,207310.1448213314
21161,2002,229063.28185753798
21161,2003,255162.0452722382
21161,2004,292449.1229509009
21161,2005,350110.0941426441
21161,2006,395816.61754444416
21161,2007,400192.9255591702
21161,2008,379767.0597583913
21161,2009,346103.2444068574
21161,2010,338005.7469617155
21161,2011,314278.8279601507
21161,2012,311098.1759693996
21161,2013,324095.22609627096
21161,2014,337739.75739662
21161,2015,344562.0471250607
21161,2016,354481.38622667023
21161,2017,362433.7089020279
21161,2018,376533.54510006215
21161,2019,385419.0934844735
21161,2020,400794.4786512754
21161,2021,464857.5925360661
21161,2022,490715.55155036994
21161,2023,509795.72356485575
21161,2024,529628.8157144028
21161,2025,542731.2381116792
21162,2000,211353.14814712614
21162,2001,218653.01223801047
21162,2002,226346.73388874772
21162,2003,260852.59438048638
21162,2004,306449.0541230993
21162,2005,360203.46164401347
21162,2006,423592.8961015829
21162,2007,429759.1527745418
21162,2008,408596.76861135033
21162,2009,367272.9700908113
21162,2010,349321.8732530188
21162,2011,331747.2339571091
21162,2012,325589.37994290114
21162,2013,331071.04315143905
21162,2014,346044.86616229545
21162,2015,352514.91932279686
21162,2016,357760.9641510664
21162,2017,364307.2765152891
21162,2018,370684.9217071871
21162,2019,382226.79223891516
21162,2020,394750.2711527653
21162,2021,445672.3156823893
21162,2022,487098.23993501987
21162,2023,500205.82785247476
21162,2024,508490.80485532305
21162,2025,521692.33656587056
21204,2000,209406.56535744562
21204,2001,223682.6753495324
21204,2002,246461.16649658652
21204,2003,275475.0636075721
21204,2004,318925.7470115457
21204,2005,382534.5319191166
21204,2006,427755.5717717651
21204,2007,428707.09593523224
21204,2008,421905.8892614397
21204,2009,397072.2296648107
21204,2010,380837.94575455715
21204,2011,358819.08013125183
21204,2012,363909.7232127931
21204,2013,380268.5673196659
21204,2014,404288.3012232508
21204,2015,415924.80398656934
21204,2016,423782.4041079952
21204,2017,434259.13469920645
21204,2018,443490.654709506
21204,2019,448589.73459462216
21204,2020,452691.5122052797
21204,2021,506048.92906452215
21204,2022,534553.6520037274
21204,2023,555001.0503942904
21204,2024,569289.8361989316
21204,2025,581369.0587715238
21207,2000,96507.007703425
21207,2001,98884.2959120422
21207,2002,103892.07773742508
21207,2003,114291.94872941833
21207,2004,130287.57433008243
21207,2005,158725.1371582389
21207,2006,192142.59317587744
21207,2007,209885.0995444964
21207,2008,204985.3674400287
21207,2009,176388.13872488996
21207,2010,168794.10141789052
21207,2011,152126.38373227202
21207,2012,145319.04675361858
21207,2013,150479.85436923252
21207,2014,158658.80873210513
21207,2015,161590.36086422537
21207,2016,165467.68241645032
21207,2017,172082.45177193545
21207,2018,186400.27545181342
21207,2019,201963.15959036813
21207,2020,208990.5993357193
21207,2021,243411.96827043843
21207,2022,258523.57972530622
21207,2023,262128.381333402
21207,2024,273594.1619157053
21207,2025,280933.5999594374
21208,2000,151331.5540221586
21208,2001,157782.272950328
21208,2002,168732.7165571666
21208,2003,186858.64350051078
21208,2004,215048.74140389363
21208,2005,261281.4715660729
21208,2006,308181.11165720155
21208,2007,318485.8996154369
21208,2008,305709.78069783753
21208,2009,270794.52406308963
21208,2010,255795.44143541704
21208,2011,232374.72377024608
21208,2012,216409.6469652583
21208,2013,224458.27378833274
21208,2014,232909.8694810257
21208,2015,238436.76885806356
21208,2016,246290.4396432127
21208,2017,256299.26516171778
21208,2018,263978.3923557338
21208,2019,273043.6779385113
21208,2020,280803.474196154
21208,2021,321628.0679151728
21208,2022,348706.9541212947
21208,2023,355962.07747328136
21208,2024,364905.9844090125
21208,2025,366397.2716657935
21209,2000,144157.8994820065
21209,2001,152790.8200804193
21209,2002,167119.1926209196
21209,2003,192418.6936146026
21209,2004,222713.7898464878
21209,2005,264798.92169639445
21209,2006,304676.3816823589
21209,2007,310613.4031472237
21209,2008,307029.46125718934
21209,2009,279669.65103043185
21209,2010,271695.8728930185
21209,2011,249523.30319802702
21209,2012,247171.268738422
21209,2013,266364.4540832088
21209,2014,280261.5825740343
21209,2015,287862.08613611787
21209,2016,295638.1512599843
21209,2017,307673.2240479582
21209,2018,314860.1445430338
21209,2019,320506.94171129836
21209,2020,327746.3717440697
21209,2021,365078.16581234604
